品牌,目标消费群体,分类
香影,25-45岁,女装
香蕉宝贝,21-35岁,女装
ik,25~35岁,女装
wonderfulbeauty,23—38,女装
意澳,25-45,女装
马克华菲,25-35,女装
...minette,26-40岁,女装
唯简尚,18-35岁,女装
3ffusive,30-45,女装
KENNY,20-50,女装
迪奥,25-48,女装
乔帛,25-40岁,女装
淑女日记,18-38,女装
D2M,28-40,女装
戴莉格琳,20-38,女装
吉曦,26-40岁,女装
今日主播,25-48岁,女装
Three d,18-38,女装
T&W,26-40岁,女装
ECA,25-48岁,女装
艾米,18-45,女装
钡禾,20-45,女装
百图,26-40岁,女装
回甘,26-40岁,女装
依路佑妮,20-38岁,女装
夏姿绮,25-45岁,女装
ANOTHER ONE,25-45岁,女装
迪笛欧,25-35岁,女装
衣肖秀,18-55岁,女装
TINOCA,,女装
可姿伊,20-45,女装
布莎卡,25-45,女装
雅奴天使,18-35岁,女装
卡索,26-40岁,女装
讴歌德,20-45岁,女装
酷芭芭,18-28岁,女装
迪丝爱尔,26-45岁,女装
YDG,20-40岁,女装
芝麻e柜,20-40岁,女装
着秀,不限,女装
卡茵琪,大众群体,女装
MYMO,22-40,女装
YLZ1978,28-45,女装
卡尔诺,18-38岁,女装
奥伦提,20-38,女装
楚阁,25-40岁,女装
蓝缇儿,22-35岁,女装
吉米赛欧,26-40岁,女装
音非,25-40,女装
底色,28-45,女装
彤欣格,18-45岁,女装
红贝缇,25-40,女装
佧茜文,28-35,女装
欧米媞,18-45岁,女装
尚约,26-40岁,女装
画而诗,28-45岁,女装
凯伦诗,26-40岁,女装
丽芮,22-38,女装
西蔻,23-38岁,女装
韩菲斯,20-45,女装
速品,20-35,女装
夺宝奇兵,20-46,女装
艾丽哲,18-40,女装
莎斯莱思,26-40岁,女装
凡恩,20-40岁,女装
约布,28-58,女装
武汉惠品,不限,女装
欧出色,18-40,女装
迪斯廷凯,25-45岁,女装
艺域,25-45岁,女装
格蕾斯,20-45岁,女装
爱客,25-35岁女性,女装
玳莎,不限,女装
主提,25-40,女装
丽比多,35-45岁,女装
衣佰芬,20-40岁,女装
爱为,25-45岁,女装
37度LOVE,26-40岁,女装
必芙丽,18-55岁,女装
允硕,26-40岁,女装
布卡拉,20-35岁,女装
衣魅人,18-50,女装
司合伊,18-50岁,女装
CH-21,18-40岁,女装
都市衣柜,22-45岁,女装
时尚自由点,20-35,女装
YES,18-38岁,女装
ZIMMUR,23-40,女装
阿莱贝琳,22-58岁,女装
维娜,38-58岁,女装
玛斯卓拉,25-50 岁,女装
衣秀维妮,25-45岁,女装
经典故事,28-45岁,女装
丹诗格尔,26-40岁,女装
衬茉,18-50岁,女装
丹妮丽人,18-35,女装
青花语,18-35,女装
游悦,26-40岁,女装
JHV,18-40,女装
丹缇施,20-40,女装
依丁可唯,26-40岁,女装
艾露伊,25-35岁,女装
卡缇国际,不限,女装
尚科莫,,女装
创迎服饰,26-40岁,女装
艺格,26-40岁,女装
OMUCHOY,26-40岁,女装
宝姿 ,26-40岁,女装
来尔佳昵,26-40岁,女装
蔻拉,30-40岁,女装
HURST,26-40岁,女装
一城画一,26-40岁,女装
咔咔图,26-40岁,女装
她奈,19-25岁,女装
拉格蓓芮,26-40岁,女装
富甲坊,26-40岁,女装
绘事后素,25-40岁,女装
丹佛蒂欧,20-40岁,女装
友金普惠,25--55岁,女装
摩兰度,18-38岁,女装
珈哒,20-35岁,女装
Connie&co,20-40岁,女装
俏帛,26-40岁,女装
适时雅集,30-50,女装
纯粹,25-45,女装
依然秀,18-35,女装
carmen,26-40岁,女装
冰格贝尔,20-40岁,女装
织幻,20-45岁,女装
PUCCA,18-38,女装
贝尼娜菲,20-38岁,女装
朵诗妮,18-40岁,女装
阿琴e库,26-40岁,女装
卡嘉茜,25-45岁,女装
卡漫拉,18-28岁,女装
水映,20-45岁,女装
绽然,25-40岁,女装
解构,22-38岁,女装
达拉达,22-38岁,女装
雅风轩,20-35岁,女装
AMCTEN,26-40岁,女装
古着花色,25-45岁,女装
婉姿,18-30岁,女装
东琳,20-45岁,女装
芮色,25-45岁,女装
Q.R&Kcast,19-25岁,女装
凝素,26-40岁,女装
绮籽,25-35,女装
蒙妮尔,38-58岁,女装
雅迪奥尔,26-40岁,女装
薇妮兰,25-45岁,女装
彩衫,25-40,女装
迦堤,26-40岁,女装
季索,26-40岁,女装
蓝色倾情,25-45岁,女装
卡瑟蒂,18-50,女装
沫黎,25-45岁,女装
华姿韵,25-45岁,女装
黑白伊人,18-30岁,女装
维曼缇,25-38,女装
蒙迪爱尔,35-45,女装
ANNA ,26-40岁,女装
WW.JS.DEER,18-40,女装
百吉丽,26-40岁,女装
道内,28-38岁,女装
布景,18-55岁,女装
萨达纳,18-25岁,女装
温莎蒂,26-40岁,女装
花禅,26-40岁,女装
衡韵雅序,25-45岁,女装
然可时,19-25岁,女装
水润天青,26-40岁,女装
水墨生香,26-40岁,女装
迪索怡,25—55岁,女装
凯·芬梵妮,26-40岁,女装
城市衣柜,18-35岁,女装
宝贝玛丽,26-40岁,女装
欧尚恒美,23-35,女装
麻蚕禅,25-35,女装
依伽依佳,30-48岁,女装
美丽魅力,26-40岁,女装
TITI,26-40岁,女装
斯妲黛莎,20-45岁,女装
雷索思,25-38岁,女装
屿思,26-40岁,女装
伊楠,26-40岁,女装
唯媚,26-40岁,女装
廿四花信,26-40岁,女装
樊羽,26-40岁,女装
子品手则,26-40岁,女装
Abun,20-35,女装
可媚,20-45岁,女装
知彩,26-40岁,女装
艺蔓,25-45岁,女装
色弋瑞,25-45岁,女装
悠媤莉 ,26-40岁,女装
 STEVE&VIVIAN ,26-40岁,女装
柯妮丝麗,25-45,女装
莉雅莉萨,18-35岁,女装
無索,25-45,女装
独一无二,26-40岁,女装
亮点国际,26-40岁,女装
丽莎丽莎,26-40岁,女装
ZH , L.15,20-40岁,女装
思慕缇,26-40岁,女装
逆转女王,25-40岁,女装
与凤齐美,26-40岁,女装
王华忠,26-40岁,女装
A-lin,26-40岁,女装
东又西,26-40岁,女装
米施卡,26-40岁,女装
天悦,26-40岁,女装
有無,26-40岁,女装
女子卉色,25-45,女装
REICO HSU,26-40岁,女装
五色五图,26-40岁,女装
曦然,25-35岁,女装
娜子崔,26-40岁,女装
千面丽人,25-45岁,女装
奔狐,28-38岁,女装
爱佛斯,26-40岁,女装
一本衣物,26-40岁,女装
湘衣铭,25-45岁,女装
保时霓,25-50,女装
TIKVAH,26-40岁,女装
theclizy,20-38,女装
龙凤饰锦,25-55,女装
梦菲雪,25-35岁,女装
衣心衫藏,26-40岁,女装
斯珈妮,22-45,女装
衣魔得思,26-40岁,女装
SN,26-40岁,女装
艾哲淑女装,26-40岁,女装
BANNA BANNA,26-40岁,女装
曼柏优妮,26-40岁,女装
木棉道,22-50,女装
戴芙琳,25-35,女装
e.15,30-40岁,女装
异,28-38,女装
衣香芳苑,26-40岁,女装
蔓诺蒂,25-35,女装
卓茜雅,25-38,女装
禾佃,22~38,女装
